"dhs_indicator_code","variable","ADM2_EN","naive","naive_var","dir","dir_var","n_obs","degf"
NA,"rh_anc_1tri","Meherpur",0.45,0.260526315789474,0.430883935858924,0.00622644740830184,3,2
NA,"rh_anc_1tri","Munshiganj",0.407407407407407,0.250712250712251,0.376480046036982,0.0195201284628463,4,3
NA,"rh_anc_1tri","Mymensingh",0.331230283911672,0.222217785409096,0.324122184777513,0.00128596824593203,35,34
NA,"rh_anc_1tri","Naogaon",0.349206349206349,0.230926779313876,0.328575200301914,0.00184041727037502,11,10
NA,"rh_anc_1tri","Narail",0.227272727272727,0.183982683982684,0.224567732798902,0.00118675116180679,3,2
NA,"rh_anc_1tri","Narayanganj",0.523076923076923,0.253365384615385,0.580252722266462,0.0141410141168617,8,7
NA,"rh_anc_1tri","Narsingdi",0.333333333333333,0.230769230769231,0.366875843655442,0.0158038714051398,4,3
NA,"rh_anc_1tri","Natore",0.583333333333333,0.25,0.589369622070526,0.0054208322433176,7,6
NA,"rh_anc_1tri","Nawabganj",0.229166666666667,0.18040780141844,0.227111079922483,0.00836965701306913,7,6
NA,"rh_anc_1tri","Netrakona",0.338842975206612,0.225895316804408,0.343905539345538,0.0018289110971472,15,14
NA,"rh_anc_1tri","Nilphamari",0.319444444444444,0.220461658841941,0.281185333156686,0.00513959978401421,8,7
NA,"rh_anc_1tri","Noakhali",0.193877551020408,0.157900273511466,0.190171145923401,0.00227608473482675,8,7
NA,"rh_anc_1tri","Pabna",0.472222222222222,0.252738654147105,0.467102833946386,0.00602197244528957,10,9
NA,"rh_anc_1tri","Panchagarh",0.294117647058824,0.213903743315508,0.271690364618348,0.0013314206700024,5,4
NA,"rh_anc_1tri","Patuakhali",0.230769230769231,0.17982017982018,0.226566751210603,0.00136815581011623,10,9
NA,"rh_anc_1tri","Pirojpur",0.421052631578947,0.24812030075188,0.405607475594062,0.00495470494717991,9,8
NA,"rh_anc_1tri","Rajbari",0.5,0.266666666666667,0.500372544138024,0.00182486780391832,4,3
NA,"rh_anc_1tri","Rajshahi",0.526315789473684,0.251513740102469,0.459577405868662,0.00495690795063072,20,19
NA,"rh_anc_1tri","Rangamati",0.294117647058824,0.213903743315508,0.280633739313347,0.00149112103642026,5,4
NA,"rh_anc_1tri","Rangpur",0.452991452991453,0.249926318891836,0.432719711170836,0.00161325085067894,20,19
NA,"rh_anc_1tri","Satkhira",0.347222222222222,0.229851330203443,0.341081759180296,0.00186760191483686,10,9
NA,"rh_anc_1tri","Shariatpur",0.16,0.14,0.170843733710392,0.00243030277209292,3,2
NA,"rh_anc_1tri","Sherpur",0.461538461538462,0.252403846153846,0.443131607002218,0.00424239605752848,9,8
NA,"rh_anc_1tri","Sirajganj",0.25,0.189873417721519,0.241375113172295,0.00140793916609452,14,13
NA,"rh_anc_1tri","Sunamganj",0.310924369747899,0.21606608745193,0.303525028130194,0.00497150089458425,15,14
NA,"rh_anc_1tri","Sylhet",0.493506493506494,0.251044607566347,0.471749431417544,0.00241225781527969,28,27
NA,"rh_anc_1tri","Tangail",0.555555555555556,0.251572327044025,0.591565108538944,0.0147786986904293,9,8
NA,"rh_anc_1tri","Thakurgaon",0.357142857142857,0.235191637630662,0.320951919860088,0.00485954566645474,6,5
